Indicator,Country,Gender,Year,Val
"(EU) Standard death rates, all causes of death per 100 000",Austria,combined,2013,998.0
"(EU) Standard death rates, all causes of death per 100 000",Austria,combined,2014,957.0
"(EU) Standard death rates, all causes of death per 100 000",Austria,combined,2015,990.0
(EU) Standardised death rate due to cancer per 100 000 persons,Austria,male,2008,359.5
(EU) Standardised death rate due to cancer per 100 000 persons,Austria,male,2009,344.4
(EU) Standardised death rate due to cancer per 100 000 persons,Austria,male,2010,336.0
(EU) Standardised death rate due to cancer per 100 000 persons,Austria,male,2011,336.2
(EU) Standardised death rate due to cancer per 100 000 persons,Austria,male,2012,333.0
(EU) Standardised death rate due to cancer per 100 000 persons,Austria,male,2013,329.8
(EU) Standardised death rate due to cancer per 100 000 persons,Austria,male,2014,320.7
(EU) Standardised death rate due to cancer per 100 000 persons,Austria,male,2015,315.0
(EU) Standardised death rate due to cancer per 100 000 persons,Austria,female,2008,207.9
(EU) Standardised death rate due to cancer per 100 000 persons,Austria,female,2009,203.8
(EU) Standardised death rate due to cancer per 100 000 persons,Austria,female,2010,203.6
(EU) Standardised death rate due to cancer per 100 000 persons,Austria,female,2011,205.2
(EU) Standardised death rate due to cancer per 100 000 persons,Austria,female,2012,206.3
(EU) Standardised death rate due to cancer per 100 000 persons,Austria,female,2013,198.2
(EU) Standardised death rate due to cancer per 100 000 persons,Austria,female,2014,202.4
(EU) Standardised death rate due to cancer per 100 000 persons,Austria,female,2015,195.0
(EU) Standardised death rate due to cancer per 100 000 persons,Austria,combined,2008,266.1
(EU) Standardised death rate due to cancer per 100 000 persons,Austria,combined,2009,258.8
(EU) Standardised death rate due to cancer per 100 000 persons,Austria,combined,2010,255.5
(EU) Standardised death rate due to cancer per 100 000 persons,Austria,combined,2011,256.3
(EU) Standardised death rate due to cancer per 100 000 persons,Austria,combined,2012,255.5
(EU) Standardised death rate due to cancer per 100 000 persons,Austria,combined,2013,249.7
(EU) Standardised death rate due to cancer per 100 000 persons,Austria,combined,2014,249.3
(EU) Standardised death rate due to cancer per 100 000 persons,Austria,combined,2015,243.4
(EU) Standardised death rate due to chronic liver disease and cirrhoses all ages per 100 000 inhabitants,Austria,male,2008,29.0
(EU) Standardised death rate due to chronic liver disease and cirrhoses all ages per 100 000 inhabitants,Austria,male,2009,31.0
(EU) Standardised death rate due to chronic liver disease and cirrhoses all ages per 100 000 inhabitants,Austria,male,2010,29.0
(EU) Standardised death rate due to chronic liver disease and cirrhoses all ages per 100 000 inhabitants,Austria,male,2011,26.0
(EU) Standardised death rate due to chronic liver disease and cirrhoses all ages per 100 000 inhabitants,Austria,male,2012,29.0
(EU) Standardised death rate due to chronic liver disease and cirrhoses all ages per 100 000 inhabitants,Austria,male,2013,27.0
(EU) Standardised death rate due to chronic liver disease and cirrhoses all ages per 100 000 inhabitants,Austria,male,2014,25.0
(EU) Standardised death rate due to chronic liver disease and cirrhoses all ages per 100 000 inhabitants,Austria,male,2015,26.0
(EU) Standardised death rate due to chronic liver disease and cirrhoses all ages per 100 000 inhabitants,Austria,female,2008,9.0
(EU) Standardised death rate due to chronic liver disease and cirrhoses all ages per 100 000 inhabitants,Austria,female,2009,10.0
(EU) Standardised death rate due to chronic liver disease and cirrhoses all ages per 100 000 inhabitants,Austria,female,2010,9.0
(EU) Standardised death rate due to chronic liver disease and cirrhoses all ages per 100 000 inhabitants,Austria,female,2011,9.0
(EU) Standardised death rate due to chronic liver disease and cirrhoses all ages per 100 000 inhabitants,Austria,female,2012,10.0
(EU) Standardised death rate due to chronic liver disease and cirrhoses all ages per 100 000 inhabitants,Austria,female,2013,9.0
(EU) Standardised death rate due to chronic liver disease and cirrhoses all ages per 100 000 inhabitants,Austria,female,2014,8.0
(EU) Standardised death rate due to chronic liver disease and cirrhoses all ages per 100 000 inhabitants,Austria,female,2015,9.0
(EU) Standardised death rate due to chronic liver disease and cirrhoses all ages per 100 000 inhabitants,Austria,combined,2008,18.0
(EU) Standardised death rate due to chronic liver disease and cirrhoses all ages per 100 000 inhabitants,Austria,combined,2009,20.0
(EU) Standardised death rate due to chronic liver disease and cirrhoses all ages per 100 000 inhabitants,Austria,combined,2010,18.0
(EU) Standardised death rate due to chronic liver disease and cirrhoses all ages per 100 000 inhabitants,Austria,combined,2011,17.0
(EU) Standardised death rate due to chronic liver disease and cirrhoses all ages per 100 000 inhabitants,Austria,combined,2012,18.0
(EU) Standardised death rate due to chronic liver disease and cirrhoses all ages per 100 000 inhabitants,Austria,combined,2013,17.0
(EU) Standardised death rate due to chronic liver disease and cirrhoses all ages per 100 000 inhabitants,Austria,combined,2014,16.0
(EU) Standardised death rate due to chronic liver disease and cirrhoses all ages per 100 000 inhabitants,Austria,combined,2015,17.0
(EU) Standardised death rate due to ischaemic heart diseases per 100 000 persons,Austria,male,2008,259.0
(EU) Standardised death rate due to ischaemic heart diseases per 100 000 persons,Austria,male,2009,259.0
(EU) Standardised death rate due to ischaemic heart diseases per 100 000 persons,Austria,male,2010,261.0
(EU) Standardised death rate due to ischaemic heart diseases per 100 000 persons,Austria,male,2011,258.0
(EU) Standardised death rate due to ischaemic heart diseases per 100 000 persons,Austria,male,2012,259.0
(EU) Standardised death rate due to ischaemic heart diseases per 100 000 persons,Austria,male,2013,258.0
(EU) Standardised death rate due to ischaemic heart diseases per 100 000 persons,Austria,male,2014,240.0
(EU) Standardised death rate due to ischaemic heart diseases per 100 000 persons,Austria,male,2015,244.0
(EU) Standardised death rate due to ischaemic heart diseases per 100 000 persons,Austria,female,2008,161.0
(EU) Standardised death rate due to ischaemic heart diseases per 100 000 persons,Austria,female,2009,159.0
(EU) Standardised death rate due to ischaemic heart diseases per 100 000 persons,Austria,female,2010,151.0
(EU) Standardised death rate due to ischaemic heart diseases per 100 000 persons,Austria,female,2011,151.0
(EU) Standardised death rate due to ischaemic heart diseases per 100 000 persons,Austria,female,2012,157.0
(EU) Standardised death rate due to ischaemic heart diseases per 100 000 persons,Austria,female,2013,148.0
(EU) Standardised death rate due to ischaemic heart diseases per 100 000 persons,Austria,female,2014,138.0
(EU) Standardised death rate due to ischaemic heart diseases per 100 000 persons,Austria,female,2015,140.0
(EU) Standardised death rate due to ischaemic heart diseases per 100 000 persons,Austria,combined,2008,200.0
(EU) Standardised death rate due to ischaemic heart diseases per 100 000 persons,Austria,combined,2009,200.0
(EU) Standardised death rate due to ischaemic heart diseases per 100 000 persons,Austria,combined,2010,195.0
(EU) Standardised death rate due to ischaemic heart diseases per 100 000 persons,Austria,combined,2011,194.0
(EU) Standardised death rate due to ischaemic heart diseases per 100 000 persons,Austria,combined,2012,198.0
(EU) Standardised death rate due to ischaemic heart diseases per 100 000 persons,Austria,combined,2013,192.0
(EU) Standardised death rate due to ischaemic heart diseases per 100 000 persons,Austria,combined,2014,179.0
(EU) Standardised death rate due to ischaemic heart diseases per 100 000 persons,Austria,combined,2015,182.0
(EU) Standardised death rate due to suicides per 100 000 persons,Austria,male,2008,27.0
(EU) Standardised death rate due to suicides per 100 000 persons,Austria,male,2009,26.0
(EU) Standardised death rate due to suicides per 100 000 persons,Austria,male,2010,26.0
(EU) Standardised death rate due to suicides per 100 000 persons,Austria,male,2011,26.0
(EU) Standardised death rate due to suicides per 100 000 persons,Austria,male,2012,26.0
(EU) Standardised death rate due to suicides per 100 000 persons,Austria,male,2013,26.0
(EU) Standardised death rate due to suicides per 100 000 persons,Austria,male,2014,25.0
(EU) Standardised death rate due to suicides per 100 000 persons,Austria,male,2015,24.0
(EU) Standardised death rate due to suicides per 100 000 persons,Austria,female,2008,7.0
(EU) Standardised death rate due to suicides per 100 000 persons,Austria,female,2009,7.0
(EU) Standardised death rate due to suicides per 100 000 persons,Austria,female,2010,7.0
(EU) Standardised death rate due to suicides per 100 000 persons,Austria,female,2011,7.0
(EU) Standardised death rate due to suicides per 100 000 persons,Austria,female,2012,7.0
(EU) Standardised death rate due to suicides per 100 000 persons,Austria,female,2013,7.0
(EU) Standardised death rate due to suicides per 100 000 persons,Austria,female,2014,7.0
(EU) Standardised death rate due to suicides per 100 000 persons,Austria,female,2015,6.0
(EU) Standardised death rate due to suicides per 100 000 persons,Austria,combined,2008,16.0
(EU) Standardised death rate due to suicides per 100 000 persons,Austria,combined,2009,16.0
(EU) Standardised death rate due to suicides per 100 000 persons,Austria,combined,2010,15.0
(EU) Standardised death rate due to suicides per 100 000 persons,Austria,combined,2011,16.0
(EU) Standardised death rate due to suicides per 100 000 persons,Austria,combined,2012,15.0
(EU) Standardised death rate due to suicides per 100 000 persons,Austria,combined,2013,15.0
(EU) Standardised death rate due to suicides per 100 000 persons,Austria,combined,2014,15.0
(EU) Standardised death rate due to suicides per 100 000 persons,Austria,combined,2015,14.0
(EU) Standardised death rate due to unintentional and intentional injuries per 100 000 persons,Austria,male,2008,50.4
(EU) Standardised death rate due to unintentional and intentional injuries per 100 000 persons,Austria,male,2009,48.2
(EU) Standardised death rate due to unintentional and intentional injuries per 100 000 persons,Austria,male,2010,46.1
(EU) Standardised death rate due to unintentional and intentional injuries per 100 000 persons,Austria,male,2011,46.0
(EU) Standardised death rate due to unintentional and intentional injuries per 100 000 persons,Austria,male,2012,48.8
(EU) Standardised death rate due to unintentional and intentional injuries per 100 000 persons,Austria,male,2013,46.7
(EU) Standardised death rate due to unintentional and intentional injuries per 100 000 persons,Austria,male,2014,42.7
(EU) Standardised death rate due to unintentional and intentional injuries per 100 000 persons,Austria,male,2015,44.1
(EU) Standardised death rate due to unintentional and intentional injuries per 100 000 persons,Austria,female,2008,21.3
(EU) Standardised death rate due to unintentional and intentional injuries per 100 000 persons,Austria,female,2009,21.6
(EU) Standardised death rate due to unintentional and intentional injuries per 100 000 persons,Austria,female,2010,20.6
(EU) Standardised death rate due to unintentional and intentional injuries per 100 000 persons,Austria,female,2011,21.8
(EU) Standardised death rate due to unintentional and intentional injuries per 100 000 persons,Austria,female,2012,23.2
(EU) Standardised death rate due to unintentional and intentional injuries per 100 000 persons,Austria,female,2013,21.6
(EU) Standardised death rate due to unintentional and intentional injuries per 100 000 persons,Austria,female,2014,21.6
(EU) Standardised death rate due to unintentional and intentional injuries per 100 000 persons,Austria,female,2015,22.4
(EU) Standardised death rate due to unintentional and intentional injuries per 100 000 persons,Austria,combined,2008,33.7
(EU) Standardised death rate due to unintentional and intentional injuries per 100 000 persons,Austria,combined,2009,33.2
(EU) Standardised death rate due to unintentional and intentional injuries per 100 000 persons,Austria,combined,2010,31.7
(EU) Standardised death rate due to unintentional and intentional injuries per 100 000 persons,Austria,combined,2011,32.3
(EU) Standardised death rate due to unintentional and intentional injuries per 100 000 persons,Austria,combined,2012,34.1
(EU) Standardised death rate due to unintentional and intentional injuries per 100 000 persons,Austria,combined,2013,32.3
(EU) Standardised death rate due to unintentional and intentional injuries per 100 000 persons,Austria,combined,2014,30.7
(EU) Standardised death rate due to unintentional and intentional injuries per 100 000 persons,Austria,combined,2015,32.1
(EU) Total fertility rate,Austria,combined,2008,1.41
(EU) Total fertility rate,Austria,combined,2009,1.39
(EU) Total fertility rate,Austria,combined,2010,1.44
(EU) Total fertility rate,Austria,combined,2011,1.43
(EU) Total fertility rate,Austria,combined,2012,1.44
