Unknown Number of Deaths,0 Deaths,1-50 Deaths,51-100 Deaths,101-1000 Deaths,>1001 Deaths,"Unknown Number of Deaths, lat","Unknown Number of Deaths, lon","0 Deaths, lat","0 Deaths, lon","1-50 Deaths, lat","1-50 Deaths, lon","51-100 Deaths, lat","51-100 Deaths, lon","101-1000 Deaths, lat","101-1000 Deaths, lon",">1001 Deaths, lat",">1001 Deaths, lon"
"Guadeloupe: Grand Bourg, 1969",,"China:   Yunnan Province, 1902","Hungary:  Gyor; Czechoslovakia:  Komarom, 1763","South Korea:  Kwangju, 1455","Iran:  Shiraz, 1853",15.8,-59.7,,,26.3,99.9,47.7,18.2,35.9,126.5,29.6,52.5
"Alaska:  Unimak Island, 1946",,"China:  Hebei Province, 1911","Greece:  Dodecanese, 1956","China:  Gansu Province:  Yongdeng, 1440","China:  Yunnan Province, 1917",53.492,-162.832,,,39.8,114.5,36.9,26,36.2,103.3,28,104
"Canada; Maine:  Caribou, Haynesville, Presque Isle, 1982",,"China:  Yunnan Province, 1906","Kyrgyzstan:  Toluk, 1992","China:  Henan Province, 1820","Indonesia:  Bali, 1917",46.975,-66.659,,,24.6,98.6,42.142,73.575,34.1,113.8,-7,116
"Tajikistan:  Shurab, Nefteabad, 1980",,"China:  Henan Province, 1814","California:  Northridge, 1994","China:  Yunnan Province:  Dali, 1515","Turkey:  Sultanhisar,Atca,Nazilli,Kuyucak,Denizli, 1899",40.113,70.596,,,35.8,114.4,34.213,-118.537,25.7,100.2,37.93,28.84
"Samoa Islands:  Apia, 1977",,"Colombia:  Funes, 1935","California:  Loma Prieta, 1989","Taiwan:  Tainan, 1736","Uzbekistan:   Andizhan, 1902",-16.696,-172.095,,,1,-77.5,37.036,-121.883,23.1,120.3,40.8,72.3
"Samoa:  Apia; American Samoa:  Pago Pago, 1981",,"Peru:  Lima, Callao, 1828","Peru:  Lima, Callao, 1974","China:  Qinghai Province, 1738","Turkey:  Malazgirt, 1903",-14.96,-173.085,,,-12.13,-77.809,-12.27,-77.79,33.3,96.6,39.1,42.5
"Azores:  Graciosa, Terceira, 1989",,"Taiwan:  S Of Xinzhu, 1881","Chile:  Central, 1971","Taiwan:  Zhanghua, 1845","China:  Ningxia:  Pingliang, Longde, 1622",39.112,-28.242,,,24.5,120.7,-32.5,-71.2,24.1,120.5,36.5,106.3
"Hawaiian Islands:  Puna District, 1989",,"China:  Liaoning Province, 1855","Colombia:  Huila, Neiva, Rivera,San Antonio, 1967","Peru:  Camana, Ocona, Caraveli, 1821","Turkey:  Erzincan,Erzurum, 1482",19.362,-155.083,,,39.1,121.6,2.9,-74.9,-16.107,-72.967,39.9,40.4
"China:  Henan Province, 1959",,"Taiwan, 1881","Indonesia:  Java:  Dampit,Gondang,Trenggalek, 1967","China: Ningxia, 1852","China:  Xinjiang, Turkestan, 1902",31.8,115.3,,,25,121.5,-9.2,113.1,37.5,105.2,39.88,76.2
"Wyoming:  Douglas, Medicine Bow, 1984",,"China:  Yunnan Province, 1939","Philippines:  S Luzon:  Manila, Santa Cruz, 1658","Taiwan:, 1815","Iran:  Quchan, Mashhad, Bojnurd, 1893",42.375,-105.72,,,24.4,102.5,14.4,120.6,25.2,121.2,37.2,58.4
"Tonga Islands, 1950",,"Indonesia:  Sulawesi:  Kakas,Langowan,Poso,Tondano, 1932","China:  Yunnan Province:  Heqing, 1515","China:  Shaanxi Province, 1291","Israel: Zefat (Safed); Lebanon:  Beirut (Beyrout), 1837",-19.5,-176,,,0.5,126,26.6,100.2,36.1,111.5,33,35.5
"Philippines:  Samar:  Catarman, Catbalogan, 1988",,"China:  Yunnan Province, 1936","China:  Beijing, 1484","China:  Beijing, 1730","Turkey:  Muradiye, 1976",12.399,124.537,,,26.6,103,40.5,116.5,40,116.2,39.12,44.03
"Iran:  Siyah,Cheshmeh,Zavieh,Takht-E-Ravan-E-Sofla, 1968",,"China:  Yunnan Province, 1940","China:  Yunnan Province:  Lungling-Lushi, 1976","China:  Yunnan Province, 1755","Portugal:  Lisbon, 1531",39.3,44.4,,,24.4,102.5,24.57,98.953,24.7,102.2,38.7,-9.1
"Tajikistan:  Roshtkala, Khorog, 1988",,"China:  Sichuan Province, 1748","China:  Yunnan Province:  Lungling-Lushi, 1976","Switzerland, 1295","India:  Assam, 1897",37.18,71.811,,,30.1,101.9,24.531,98.71,46.9,9.5,26,91
"Greece:  Aegean Sea, 1983",,"China:  Sichuan Province, 1748","China:  Ne:  Tangshan, 1976","Switzerland, 1375","Chile:  Valdivia, 1575",40.142,24.766,,,30.4,101.6,39.664,118.401,46.9,8.4,-39.8,-73.2
"China:  Jiangsu Province, 1531",,"China:  Ningxia, 1748","Greece:  Chios (E Sporades), 1856","China:  Yunnan Province:  Siping, 1814","Algeria:  Northern, 1980",30.7,117.5,,,36.4,106.1,38.25,26.25,23.7,102.5,36.195,1.354
"Indonesia:  Bali: Kayubihi,Banjar Antugan Jehem, 1977",,"Peru:  Canete, 1948","Argentina:  San Juan Province:  Mendoza, 1977","Greece:  Islands Of Cythera And Crete, 1629","China:  Ningxia:  E Of Zhongwei, 1561",-8.22,115.19,,,-13.1,-76.2,-31.03,-67.77,36,25,37.5,106.2
"Alaska:  Yakutat, 1987",,"China:  Sichuan Province, 1947","Greece:  Xanthi-Drama, 1829","China:  Tibet (Xizang Province), 1834","China:  Guangdong Province, 1605",58.679,-142.786,,,26.7,102.9,41.2,24.5,28.6,87.1,19.9,110.5
"Jamaica:  St Andrew, Jacks Hill, 1988",,"Turkey:  Erzincan, 1939","Cuba:  San Cristobal,Candelaria, 1880","France:  Corsica,Belvedere,Roquebilliere, 1644","Turkey:  Istanbul, 1509",18.068,-76.597,,,39.7,40.4,22.4,-83,43,8,40.8,28.1
"New Zealand:  Gisborne, Hawera, Eastbourne, Napier, 1980",,"China:  Yunnan Province, 1947","Greece:  Chalki (Dodecanese), 1843","China:  Yunnan Province, 1688","Italy:   Avellino, Potenza, Caserta, Naples, 1980",-39.542,176.478,,,25,102,36.3,27.5,26.5,99.9,40.914,15.366
"California-Nevada:  Chalfant Valley, 1986",,"Mexico:  Guerrero: Paricutin Volcano Forms, 1943","Greece:  Vathy-Chora (Samos), 1873","China:  Shandong Province, 1829","Italy:  Cividale Del Fruili, 1511",37.537,-118.447,,,16.7,-101.5,37.8,27,36.6,118.5,46.1,13.4
"Alaska:  Prince William Sound, 1983",,"China:  Yunnan Province, 1761","Ecuador, 1923","China:  Sichuan Province, 1657","Taiwan:  Nantou, Taichung, Taizhong, 1999",61.031,-147.286,,,24.4,102.5,-0.4,-78.3,31.5,103.6,23.772,120.982
"Guadeloupe, 1985",,"China:  Sichuan Province, 1932","Puerto Rico:  Mona Passage, 1918","Taiwan:  Tainan, 1661","China:  Shaanxi Province:  Yingxian, 512",17.013,-62.448,,,31.8,102.2,18.5,-67.5,23,120.2,39.4,113.3
"California:  La Habra, Brea, Fullerton, 2014",,"China:  Gansu Province, 1822","South Carolina:  Charleston, 1886","Venezuela:  San Cristobal; Colombia:  Pamplona, 1644","India:  Gujarat:  Bhuj, Ahmadabad, Rajokot; Pakistan, 2001",33.932,-117.917,,,33,104.6,32.9,-80,7.6,-73,23.419,70.232
"Greece:  Patras, 1714",,"Peru:  Moquegua, Arequipa; Chile:  Arica, 1715","China: Xinjiang Province, 1842","China:  Yunnan:  Tengchong, 1577","China:  Sichuan Province:  Batang, 1870",38.25,21.73,,,-17.3,-70.8,43.6,93,25,98.6,30,99
"Chile, 1955",,"Cyprus:  Paphos, Nicosia, Arodhes, Peristerona, 1995","Greece:  Loi-Manesi-Messini (Messinia), 1885","China:  Hebei Province, 1658","Turkey:  Antakya (Antioch), Suedije, 1872",-30,-72,,,35.046,32.279,37,22,39.4,115.7,36.2,36.2
"Japan:  Tottori, Yonango, 1983",,"China:  Yunnan Province, 1925","China: Xinjiang, 1893","South Korea:  Kwangju, 89","Iran:  Birjand, Ghaen, 1997",35.464,133.899,,,27,100,41.7,82.8,35.9,126.5,33.825,59.809
"Russia:  Kuril Islands, 1978",,"Syria:  Hamah (Hama),Hims (Hums),Balabakk, 1354","Azerbaijan:  Semacha; N Iran, 1902","Taiwan: Jiayi, 1839","Turkey:  Capali, Dinar, Civril, Yaka, 1875",44.932,148.439,,,35.1,36.4,40.7,48.6,23.4,120.4,38.1,30.2
"Italy:  Messina Straits, 1784",,"China:  Xinjiang Province:  Wushi, 1969","Greece:  Achaia:  Patrai (Patras), 1804","Taiwan:  Tainan, 1721","Turkey:  Antakya (Antioch), 528",38.167,15.633,,,41.45,79.367,38.3,21.8,23,120.3,36.25,36.1
"Italy:  Ionian Calabria, 1784",,"Chile:  Valparaiso, Vina Del Mar, 1985","Italy:  Etna, 1865","China:  Yunnan Province, 1839","Greece:  Euboea, -426",38.317,16.4,,,-32.663,-71.551,37.7,15.1,26.1,99.9,38.9,22.7
"Indian Ocean:  Chagos Archipelago:  Diego Garcia, 1983",,"Philippines:  Luzon:  Benguet Province,  Baguio, 1985","Italy:  Cotrone, 1638","China:  Yunnan Province, 1761","Algeria:  Algiers, Boumerdes, Reghia, Thenia, 2003",-6.852,72.11,,,16.498,120.815,39.25,16.75,24.4,102.5,36.964,3.634
"Ecuador:  Guayaquil, 1943",,"Bosnia-Herzegovina:  Ljubinje; Croatia:  Dubrovnik, 1984","Azerbaijan:  Shemakha (Semacha), 1859","China:  Shanxi Province, 1618","Colombia:  Cucuta,San Cayetano,Villa Del Rosario, 1875",-2.1,-80.5,,,42.967,17.734,40.7,48.5,37,111.9,7.9,-72.5
"Japan:  Honshu:  Ito, Ajiro, 1989",,"Georgia:  Akhalkalaki, Susuz, 1986","Greece:  Kyparissia (Messinia), 1899","Iran:  Harhaz, 1825","Ecuador:  Guayaquil,Ibarra; Colombia:  San Pablo, 1868",34.942,139.193,,,41.431,43.737,37.25,21.75,36.1,52.6,0.31,-78.18
"Russia:  Kuril Islands, 1978",,"Venezuela, 1986","Greece:  Maina (Laconia), 1842","China:  Sichuan Province:  Diexi, Maoxian, 1713","Italy:  Brescia, 1222",44.244,148.862,,,10.597,-62.928,36.5,22.3,32,103.7,45.55,10.22
"Solomon Islands:  Guadalcanal, 1984",,"Argentina:  West Central, Mendoza, La Ligua, 1985","Italy:  Orciano, Luciana, 1846","China:  Yunnan Province:   Songming, Yiliang, 1725","Armenia:  Leninakan, Spitak, Kirovakan, 1988",-10.012,160.469,,,-33.053,-68.467,43.4,10.6,25.1,103.1,40.987,44.185
"China:  Hebei Province, 1956",,"Bulgaria:  Veliko Turnovo-Turgovishte, 1986","Venezuela:  La Grita,Bailadores,Merida, 1610","Afghanistan; India:  Hindu-Kush; Kazahkstan:  Balkha, 818","Italy:  Basilicata To Pouilles, 1361",40.5,115.5,,,43.274,25.912,8.3,-71.8,36.8,66.2,40.3,15.6
"Canada:  Grand Banks, 1929",,"Papua New Guinea:  Huon Peninsula, Umboi Island, 1987","Greece:  Messini-Micromani (Messinia), 1846","South Korea:  Kyongju, 100","Austria:Villach; Italy:Veneto; Slovenia:Celovac, 1348",44.69,-56,,,-6.088,147.689,37,22,35.8,129.2,46.4,13.5
"Greece:  Magnisia, 1985",,"Chile:  Arica, Iquique, 1987","Greece:  Zakinthos (Zante), Gaitani-Keri, 1893","Iran:  Shiraz, Guyum, 1824","China:  Sichuan:  Xichang, 1850",39.266,22.81,,,-19.022,-69.991,37.7,20.9,29.8,52.4,27.8,102.3
"Alaska:  Andreanof Islands, 1996",,"Philippines:  Mindoro:  San Jose, Calapan, 1988","Balkans Nw:  Croatia:  Caparice,Grab,Kusute, 1898","Turkey:  Ani (Armenia), 1046","Italy:  Norcia, 1328",51.564,-177.632,,,12.376,121.067,43.6,16.7,40.5,43.5,42.8,13
"California:  San Diego, Newport Beach, 1986",,"California:  North Coast, 1980","Spain:  Carmona, 1504","China:  Sichuan Province:  N Of Qianning, 1792","Italy:  L'Aquila, Abruzzi, Sannio, 1349",32.97,-117.869,,,41.117,-124.253,37.3,-5.4,31,101.5,42.3,13.5
"Alaska, 1938",,"Italy:  S, 1981","Greece:  Margarition-Filiates (Thesprotia), 1895","China:  Sichuan Province:  E. Of Ganze, 1811","Syria:  Halab (Aleppo),Dimashq (Damascus), 1169",55.48,-158.37,,,41.051,14.601,39.5,20.5,31.7,100.3,36.2,37.2
"Balkans Nw:  Slovenia:  Trstenik,Bela,Tenetise, 1977",,"Venezuela-N Colombia, 1981","Greece:  Sagiadha-Konispolis (Thesprotia), 1872","China:  Hebei Province:  Shulu, Ningjin, 777","Armenia:  Dvin; Iran:  Ardabil, 893",46.29,14.29,,,8.117,-72.527,39.8,20.3,37.8,115.2,40,44.6
"Nicaragua:  Rivas,  Masaya, 1985",,"China:  Sichuan Province:  Garze, 1982","Greece:  Itea Delphi (Phokis), 1870","China:  Sichuan Province:  Near Qianning, 1793","Tunisia:  Tunis, 856",11.725,-85.838,,,31.907,99.931,38.5,22.5,30.6,101.5,36.8,10.2
"China:  Shanxi Province, 1957",,"Afghanistan:  Hindu Kush:  Kabul, Samangan; Pakistan, 1983","Italy:  Bellunese, 1873","North Korea:  Pyongyang, 501","Iraq:  Al-Mawsil, 847",38,112.5,,,36.372,70.738,46.2,12.4,39,125.3,36.21,42.08
"France:  Cauro,Coti-Chiavari, 1928",,"Belgium, 1983","Greece:  Molyvos (Lesbos), 1865","South Korea:  Kyongju, 510","Iran:  Damghan, Qumis, 856",44.2,9.2,,,50.696,5.346,39.4,26.2,35.5,129.1,36.2,54.3
"Philippines:  Mindanao, 1970",,"China:  E, Heze-Dongming, Shandong Province, 1983","Algeria:  El Affroun, 1867","Colombia:  Honda,Mariquita, 1805","Turkey:  Istanbul, Kocaeli, Sakarya, 1999",6.8,126.7,,,35.206,115.213,36.4,2.7,5.3,-74.6,40.76,29.97
"California:  Northern, 1941",,"Indonesia:  Central Sulawesi, 1983","Albania:  Narta, Vlore, Kanina, 1866","South Korea:  Kyongju, 304","Italy:  Campania, Potenza, 1857",40.5,-125.25,,,1.131,120.858,40.4,19.5,35.5,129.1,40.3,16
"Peru, 1928",,"Chile:  Northern:  Copoapo-Chanaral, 1983","Greece:  Peninsula Of Maina (Laconia), 1867","China:  Ningxia: Qingtongxia, 876","China:  Shaanxi Province:  Dingxiang, Xinxian, 1038",-5.5,-79,,,-26.535,-70.563,36.4,22.2,37.8,105.9,38.4,112.9
"New Zealand:  North Island:  Porangahau, 2010",,"Indonesia:  Sumatera:  Banda Aceh, 1983","Kyrgyzstan:  Belovodskoje, 1885","China:  Hebei Province:  Cangzhou, Hejian, 1068","Israel:  Ramala, Gaza, Nablus; Egypt, 1033",-40.433,176.818,,,5.723,94.722,42.7,74.1,38.5,116.1,33,35
"China:  Anhui Province, 1954",,"El Salvador:  San Salvador; Guatemala, 1982","Greece:  Aeghion (Achaia), 1888","Lebanon:  Tarabulus (Tripolis), Tyre; Turkey; Iraq, 1063","Italy:  Ischia Is: Casamicciola, Forino, Lacco Ameno, 1883",31.6,116.6,,,13.313,-89.339,38.2,22.1,34.3,35.5,40.7,13.9
"Greece, 1928",,"Philippines:  S Luzon:  Manila, Santa Cruz, 1999","Costa Rica:  Limon, Pandora, 1991","China:  Yunnan Province, 1803","Turkey:  Tayabas, Bursa, 1855",38,23,,,15.766,119.74,9.685,-83.073,25.6,100.6,40.2,29.1
"Montana:  Dillon, Silver Star, Twin Bridges, 2005",,"Balkans Nw:  Macedonia:  Skopje, 1983","Greece:  Vasiliki (Leukas), 1948","China:  Yunnan Province, 1763","Turkmenistan:  Ashkhabad, 1948",45.365,-112.615,,,41.959,21.54,38.5,20.3,24.3,102.8,37.95,58.32
"Russia:  Sea Of Okhotsk, 1950",,"Indonesia:  Mangole, Manado, Taliabu, 1998","Italy:  Acireale, Catania, Calabria, 1818","Syria:  (Many Countries), 1076","China:  Guangdong Province, 1918",46,144,,,-2.071,124.891,37.6,15,35,38,23.5,117.2
"Albania:  Berat, Ura Vajgurore, Gramsh, Cerrik, 1997",,"China:  Yunnan Province:  Qujing, 1494","Italy:  Madonie, 1818","Iraq:  Al-Mawsil (Mosul), 986","Tajikistan, 1949",40.956,19.672,,,25.5,103.8,37.8,14,36.2,43.1,39.2,70.8
"Japan:  Honshu: N, Aomori, Misawa, 1989",,"Turkey:  Cerkes, Cubuk, Orta, 2000","Peru:  Caraveli, Chuquibamba, Ocona, Atico, 1913","Azerbaijan:  Shemakha (Semacha), 1671","Turkey, 1944",39.837,142.76,,,40.693,32.992,-17,-74,40.6,48.6,41.4,32.7
"Alaska:  Aleutian Islands:  Adak, 1986",,"Algeria:  Northern:  Ain Temouchent, 1999","China:  Yunnan Province:  Dongchuan, 1733","Colombia-Ecuador, 1958","Italy:  Carrara,Garfagnana, 1920",51.52,-174.776,,,35.321,-1.281,26.2,103.1,1.5,-79.5,44.3,10.3
"Peru:  Lima, Callao, 1860",,"Turkey:  Afyon-Bolvadin, 2000","China:  Tibet (Xizang Province), 1952","China:  Hebei Province, 1966","Greece:  Morea,Cerigo, 1750",-12.1,-77.1,,,38.457,31.351,30.5,91.5,37.35,114.92,36.2,23
"Philippines:  Mindoro, Luzon, Manila, 1972",,"China:  Sichuan:  Yibin, -26","Italy:  Camerino, 1799","Turkey:  Abant, 1957","Pakistan:  Makran Coast, 1945",13.4,120.3,,,28.8,104.6,43.1,13,40.7,30.9,24.5,63
"Chile:  Central, 1965",,"China:  Anhui Province:  Shouxian, 294","Greece:  Patrai, 1804","China:  Yunnan Province:  Tonghai, Huaning, 1789","China:  Ningxia, 1739",-31.81,-71.26,,,32.6,116.8,38.2,21.8,24.2,102.8,38.9,106.5
"Indonesia:  Sulawesi: Minahassa Peninsula, Tolitoli, 1996",,"Philippines:  Samar:  Can-Avid, 2003","Turkey:  Erzurum, 1924","Peru:  Pueblo De Torata In Tacna, 1716","Algeria:  Blida, Algiers, 1825",0.729,119.931,,,12.025,125.416,40,42,-17.2,-71.2,36.4,2.8
"Italy:  Sicily, 1973",,"New Zealand:  Off Coast North Island, 2007","Iraq:  Al-Mawsil (Mosul), 1781","Algeria:  Hodna Mountains, 1946","China:  Gansu Province, 1718",37.66,15.167,,,-39.011,178.291,36.3,43.1,35.75,5,35,105.2
"California:  Big Bear City, 2003",,"Italy:  Potenza, 1990","Peru:  N;  Ecuador:  S, 1970","Peru:  Lima,Salinas-Huaura,Lima,Callao,Chancay, 1678","Italy:  Ariano, Lucanie, Avellino, 1732",34.31,-116.848,,,40.775,15.766,-4,-80.7,-9,-79,41.08,15.15
"China:  Ningxia, 1631",,"Italy:  Sicily:  Carlentini, 1990","Italy:  Borgo Val Di Taro, 1834","Chile:  Talca, Chillan, Santiago, San Fernando, 1928","Morocco:  Meknes, Fes, 1755",35.5,107.8,,,37.3,15.438,44.3,9.4,-35,-72,34.08,-5
"Indonesia:  Sumbawa Island:  Dompu, 2003",,"Greece:  Edhessa, Kilkis, 1990","Peru:  Arequipa,Chuquibamba,Caraveli,Cotahuasi, 1960","Taiwan:  Jiayi, Tainan, 1792","Algeria:  Oran; Spain:  Cartagena, Santa Fe, 1790",-8.807,118.524,,,41.004,22.3,-15.75,-72.75,23.6,120.5,35.7,-0.6
"China:  Shanxi Province, 1967",,"Kyrgyzstan:  Osh; Uzbekistan:  Andizhan, 1992","Greece:  Asprogerakas (Kephallenia), 1912","Myanmar (Burma):  Pegu, Rangoon, 1930","Greece:  Crete:  Iraklion (Candia), 1810",36.467,111.217,,,41.019,72.429,38,20.5,17.3,96.5,35.5,25
"California:  North:  Honeydew, 1994",,"California:  Arcadia, Glendale, Los Angeles, 1991","Turkey:  Mudurnu, Adapazari, 1967","Saint Lucia, 1788","China:  Sichuan Province, 1933",40.402,-125.68,,,34.262,-118.002,40.7,30.8,14,-61,31.9,103.4
"New Zealand:  South Island:  Christchurch, 1994",,"Chile:  Antofagasta, Calama, Mejillones, 1995","Chile:  Off North Coast, 1877","China:  Yunnan Province, 1751","Italy:  Irpinia, 1930",-42.963,171.658,,,-23.34,-70.294,-21.5,-70.5,26.5,99.9,41.1,15.4
"United Kingdom:  Mansfield, Dudley, 2002",,"China:  Shaanxi Province:  Linfen, 649","Greece:  Aitania-Vathia (Crete), 1930","Peru:  Carabaya Province:  Ayapata, 1747","Pakistan:  Quetta, 1935",52.52,-2.15,,,36.1,111.5,35.8,24.8,-13.9,-70.35,29.5,66.8
"Switzerland, 1835",,"Greece:  Aiyion, Eratini, 1995","Italy, 1859","Ecuador:  Guayaquil, 1942","Turkey:  Ayvalik, Izmir, Cesme, 1883",46.7,7.8,,,38.401,22.283,42.8,13.1,-0.75,-81.5,38.3,26.2
"Alaska:  Rampart, 1904",,"China:  Xinjiang, 1863","Peru:  Arequipa; Chile: Arica, 1604","Spain:  Valence, 1748","Chile:  Chillan, 1939",64.66,-148.08,,,43.8,87.6,-17.88,-70.94,39,-0.65,-36.25,-72.25
"Philippines: Luzon:  Dimasalang, 2003",,"Oregon:  Klamath Falls, 1993","Colombia:  Putumayo,Pasto, Popayan, Santa Marta, 1834","Ecuador:  Cotopaxi,Tungurahua, Latacunga, 1757","Venezuela:  La Guaira, 1812",12.171,123.921,,,42.314,-122.012,1.2,-77,-0.9,-78.6,10.6,-66.9
"Russia:  Black Sea, 1966",,"Vanuatu Islands:  Espiritu Santo, Port Vila, 1971","Greece:  Rhodes Island; Lower Egypt, 1926","Ecuador:  Pichincha, Quito, 1755","Iran:  Turbat-Haklari, 1923",44.75,37,,,-15.5,167.2,36.5,27.5,-0.2,-78.5,35.2,59.2
"Alaska:  Aleutian Islands:  Rat Islands, 1965",,"China:  Hebei Province, 1621","California:  San Fernando, 1971","Italy:  Massa,Carrara, 1730","China:  Sichuan Province, 1923",51.29,178.55,,,39.5,116.7,34.412,-118.4,44,10.1,31.5,101
"Philippines: Masbate, Dimasalang, 2003",,"Iran:  Sarpir,Dorahan,Deh Bagh, 1975","Chile: Valdivia, Chiloe, 1737","China:  Shandong Province, 1937","China:  Yunnan Province; Vietnam:  Hanoi, 1970",12.168,124.079,,,31.599,51.037,-43,-74,35.4,115.1,24.1,102.5
"New Jersey: High Bridge, 1895",,"China:  Sichuan Province:  Mabian, 1971","Italy:  Castiglione,Cosenza,Crati, 1835","Iran:  Kevsut, Alborz, Sari, 1935","China:  Hebei Province, 1830",40.667,-74.883,,,28.9,103.7,39.3,16.3,36.3,53.5,36.4,114.2
"Japan:  Kyushu, Kagoshima, 1997",,"Peru-Ecuador:  Guayaquil, 1971","Greece:  Ionian Islands:  Leukas, 1825","Italy:  Palermo, Marsala, Mazzara, 1726","Peru:  Lima, 1687",31.92,130.429,,,-2.7,-77.4,38.75,20.75,38.1,13.35,-13.5,-76.5
"Afghanistan, 1896",,"China:  Guangdong Province, 1641","Panama: San Blas Archipelago, 1882","California:  Long Beach, 1933","Balkans Nw:  Macedonia:  Skopje, 1963",37,71,,,23.5,116.5,10,-79,33.62,-117.97,42.1,21.3
"China:  Jiangsu Province, 499",,"Solomon Islands, 1977","Yemen:  Zabid,Bahrain, 1426","China:  Sichuan Province:  S Of Kangding, 1786","Turkey:  Izmir,Alasehir,Denizli,Aydin, 1653",32.1,118.8,,,-9.965,160.731,14.1,43.2,29.8,102.1,38.2,28.2
"Iran:  Tabriz, Khvoy (Khoi), 1854",,"China:  Yunnan Province:  Weishan, 1586","China:  Gansu Province:  Xihe, 319","Greece:  Lefkada:  Damiliani, Athani, Hagios Petros, 1722","Turkey:  Izmir, 1688",38.06,45.03,,,25.3,100.3,34.1,105.3,38.7,20.6,38.4,26.9
"California:  Los Angeles, 2001",,"Peru:  Cusco, Camana, 1590","Japan:  Nankaido, 887","India:  Anjar, Bhuj, Gandhidham, Kandla, 1956","Spain:  Torrevieja, Murcia, 1829",34.059,-118.387,,,-17.2,-72.9,33,135.3,23,70,38.2,-0.9
"Turkey:  Izmir, 1667",,"China:  Guangdong Province, 1611","Italy:  Verona, 894","China:  Hebei Province, 1720","Italy:  Pisticci, 1688",38.4,27.1,,,21.5,111.3,45.3,11,40.4,115.5,40.38,16.55
"North Korea:  Yellow Sea, 1668",,"Peru:  Lima, 1630","China:  Hunan Province, 999","China:  Sichuan Province, 1936","Tunisia:  Tunis, Constantine, 1758",38,126,,,-12.2,-77.5,29,112,28.6,103.6,36.8,10.2
"India: Maharashtra: Ambeghar, Dicholi, Kisrule, 2005",,"Italy-Balkans Nw, 1976","China:  Shaanxi Province, 1000","China:  Gansu Province, 1936","Italy:  Rimini, 1672",17.067,73.773,,,46.28,13.16,35,110,35.4,103.4,43.933,12.583
"Bangladesh:  Dhaka, 2001",,"Philippines:  Luzon:  Manila, 1977","China:  Shaanxi Province:  Tsin, 1001","Israel:  Ramla,Palestine,Jerusalem,Tabuk,Kufa,Halla, 1068","Turkey:  Gediz, 1970",23.632,90.376,,,16.77,122.33,34.3,109,29.5,34.95,39.2,29.5
"Peru, 1846",,"China:  Nei Mongol:  Baotou, Beijing, Hohhot, 1996","Italy:  Verona, 1277","China:  Guangdong Province, 1067","Peru: Northern, Pisco, Chiclayo, 1970",-14,-76.8,,,40.774,109.661,45.3,11,23.6,116.5,-9.2,-78.8
"Ecuador:  Baeza, 2005",,"Chile:  Concepcion, 1898","Switzerland, 1454","Georgia:  Dzhava, Chiatura, Ambrolauri, 1991","Azerbaijan:  Shemakha (Samaxi), 1667",-0.507,-77.745,,,-36.83,-73.03,47.5,7.6,42.453,43.673,40.6,48.6
"Philippines:  Mindanao, Davao, 1972",,"Greece:  Southern, 1966","Switzerland, 1454","Colombia:  Anboledas, 1950","China:  Ningxia, 1709",6.5,126.6,,,37.5,22.1,47.5,7.6,7.8,-72.5,37.4,105.3
"Washington:  Puget Sound, 1891",,"China: Xinjiang, 1898","Ireland:  Sligo, Mayo, 1490","China:  Gansu Province, 138","India:  Kangra, 1905",48,-123.5,,,39.8,76.6,54,-9,35.8,103.5,33,76
"Indonesia:  Sumatra:  Padangsidimpuan, Lake Toba, 1892",,"China:  Xinjiang Province:  Kashgar, 1896","Mexico:  Cocula,Jalisco, 1568","Iraq-Syria:  Mesopotamia, Mosul, 1137","Morocco:  Agadir, 1960",2.5,99.5,,,39.7,75.9,20.2,-103.5,36.3,43.1,30.45,-9.62
"New Zealand:  Hawkes Bay, 1973",,"The Netherlands: Roermond; Germany: Bonn, Heinsberg, 1992","United Kingdom:  Dover Straits, 1580","China:  Yunnan Province:  Lijiang, 1996","Iran:  Khorasan, 1101",-39.58,176.57,,,51.153,5.798,51.019,1.309,27.291,100.276,36,59
"China:  Hebei Province, 1966",,"Peru:  Chincha Alta, Acari, Nazca, Marcona, 1996","Japan:  Nw. Honshu Island, 1644","Turkey:  Istanbul (Constantinople), 740","Iran:  Dasht-E-Bayaz, 1968",37.27,114.97,,,-14.993,-75.675,39.4,140.1,40.7,29.3,34,59
"California:  Northern, 1851",,"Iraq:  Arbil,  Dibs, 1991","Japan, 1647","Morocco:  Al Hoceima, Imzourene, Beni Abdallah, 2004","Italy:  Lesina, 1627",37.8,-122.4,,,36.52,44.066,36,140,35.142,-3.997,41.733,15.35
"Russia:  Sakhalin Island, Uglegorsk, Makarov, 2000",,"China:  Yunnan Province, 1909","Indonesia:  Ambon Island, Seram Island, 1674","Turkey: Nicomedia, Nicaea, 120","Italy:  Calitri, 1694",48.786,142.246,,,24.4,103,-3.75,127.75,40.77,29.92,40.7,15.7
"Solomon Islands, 1974",,"Azores:  Pico, Faial, Terceira, 1973","Japan:  N Of Nosiro, 1704","Chile:  Maule, Concepcion, Talcahuano, 2010","China:  Shanxi Province:  Linfen, 1695",-7.4,155.6,,,38.46,-28.31,41,139.5,-36.122,-72.898,36,111.5
