mission,company,location,date,time,rocket,price,successful
ERS-2,Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",1995-04-21,1:44:00,Ariane 40,11510000,True
AMSC-1,ILS,"SLC-36A, Cape Canaveral AFS, Florida, USA",1995-04-07,23:47:00,Atlas IIA,15950000,True
Orbcomm F1 and F2 & OrbView-1,Northrop,"Stargazer, Vandenberg AFB, California, USA",1995-04-03,13:48:00,Pegasus,15580000,True
"Brasilsat B2, Hot Bird 1",Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",1995-03-28,11:19:00,Ariane 44LP,11440000,True
DMSP F-13,General Dynamics,"SLC-3W, Vandenberg AFB, California, USA",1995-03-24,14:05:00,Atlas-E/F Star-37S-ISS,23740000,True
Intelsat 705,ILS,"SLC-36B, Cape Canaveral AFS, Florida, USA",1995-03-22,6:18:00,Atlas IIAS,5180000,True
STS-67,NASA,"LC-39A, Kennedy Space Center, Florida, USA",1995-03-02,6:38:00,Space Shuttle Endeavour,4770000,True
STS-63,NASA,"LC-39B, Kennedy Space Center, Florida, USA",1995-02-03,5:22:00,Space Shuttle Discovery,11030000,True
Intelsat 704,ILS,"SLC-36B, Cape Canaveral AFS, Florida, USA",1995-01-10,6:18:00,Atlas IIAS,13300000,True
NOAA-J,General Dynamics,"SLC-3W, Vandenberg AFB, California, USA",1994-12-30,10:02:00,Atlas-E/F Star-37S-ISS,3230000,True
DSP,Martin Marietta,"SLC-40, Cape Canaveral AFS, Florida, USA",1994-12-22,22:19:00,Titan IV(402)A,10320000,True
Panamsat-3,Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",1994-12-01,22:57:00,Ariane 42P,16850000,False
STS-66,NASA,"LC-39B, Kennedy Space Center, Florida, USA",1994-11-03,16:59:00,Space Shuttle Atlantis,5030000,True
Astra 1D,Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",1994-11-01,0:37:00,Ariane 42P,11860000,True
IRS-P2,ISRO,"First Launch Pad, Satish Dhawan Space Centre, India",1994-10-15,5:05:00,PSLV-G,1600000,True
"Solidaridad-2, Thaicom-2",Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",1994-10-08,1:07:00,Ariane 44L,20190000,True
STS-68,NASA,"LC-39A, Kennedy Space Center, Florida, USA",1994-09-30,11:16:00,Space Shuttle Endeavour,4880000,True
STS-64,NASA,"LC-39B, Kennedy Space Center, Florida, USA",1994-09-09,22:22:00,Space Shuttle Discovery,10740000,True
Telstar 402,Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",1994-09-09,0:29:00,Ariane 42L,8070000,True
APEX,Northrop,"NB-52B Carrier, Edwards AFB, California, USA",1994-09-03,14:38:00,Pegasus,14810000,True
DMSP F-12,General Dynamics,"SLC-3W, Vandenberg AFB, California, USA",1994-08-29,17:38:00,Atlas-E/F Star-37S-ISS,8920000,True
Mercury,Martin Marietta,"SLC-41, Cape Canaveral AFS, Florida, USA",1994-08-27,8:58:00,Titan IV(401)A,19940000,True
"Brasilsat B1, Turksat 1B",Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",1994-08-10,23:05:00,Ariane 44LP,16300000,True
"Panamsat-2, Yuri-3N",Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",1994-07-08,23:05:00,Ariane 44L,13640000,True
STS-65,NASA,"LC-39A, Kennedy Space Center, Florida, USA",1994-07-08,4:43:00,Space Shuttle Columbia,4240000,True
STEP-1,Northrop,"Stargazer, Vandenberg AFB, California, USA",1994-06-27,21:15:00,Pegasus XL,16720000,False
"Intelsat 702, STRV 1A & 1B",Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",1994-06-17,7:07:00,Ariane 44LP,20180000,True
STEP-2,Northrop,"NB-52B Carrier, Edwards AFB, California, USA",1994-05-19,17:03:00,Pegasus/HAPS,4950000,False
SROSS C2,ISRO,"SLV LP, Satish Dhawan Space Centre, India",1994-05-04,0:00:00,ASLV,23330000,True
Trumpet,Martin Marietta,"SLC-41, Cape Canaveral AFS, Florida, USA",1994-05-03,15:55:00,Titan IV(401)A,24390000,True
STS-59,NASA,"LC-39A, Kennedy Space Center, Florida, USA",1994-04-09,11:05:00,Space Shuttle Endeavour,7420000,True
STEP Mission 0 & DARPASAT,Northrop,"SLC-576E, Vandenberg AFB, California, USA",1994-03-13,22:32:00,Minotaur C (Taurus),9340000,True
STS-62,NASA,"LC-39B, Kennedy Space Center, Florida, USA",1994-03-04,13:53:00,Space Shuttle Columbia,1690000,True
Milstar DFS-1,Martin Marietta,"SLC-40, Cape Canaveral AFS, Florida, USA",1994-02-07,21:47:00,Titan IV(401)A,15390000,True
STS-60,NASA,"LC-39A, Kennedy Space Center, Florida, USA",1994-02-03,12:10:00,Space Shuttle Discovery,21110000,True
Clementine,Martin Marietta,"SLC-4W, Vandenberg AFB, California, USA",1994-01-25,16:34:00,Titan II(23)G,15940000,True
"Eutelsat 2F5, Turksat 1A",Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",1994-01-24,21:37:00,Ariane 44LP,4410000,False
"DBS-1, Thaicom-1",Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",1993-12-18,1:27:00,Ariane 44L,3150000,True
Telstar 401,General Dynamics,"SLC-36B, Cape Canaveral AFS, Florida, USA",1993-12-16,0:38:00,Atlas IIAS,15730000,True
STS-61,NASA,"LC-39B, Kennedy Space Center, Florida, USA",1993-12-02,9:27:00,Space Shuttle Endeavour,8950000,True
USA-97 (DSCS IIIB-10,General Dynamics,"SLC-36A, Cape Canaveral AFS, Florida, USA",1993-11-28,23:40:00,Atlas II,15620000,True
"Solidaridad 1, Meteosat 6",Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",1993-11-20,1:17:00,Ariane 44LP,2610000,True
Intelsat 701,Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",1993-10-22,6:46:00,Ariane 44LP,5360000,True
STS-58,NASA,"LC-39B, Kennedy Space Center, Florida, USA",1993-10-18,14:53:00,Space Shuttle Columbia,23710000,True
Landsat 6,Martin Marietta,"SLC-4W, Vandenberg AFB, California, USA",1993-10-05,17:56:00,Titan II(23)G,6170000,False
"SPOT-3, Stella & Others",Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",1993-09-26,1:45:00,Ariane 40,6190000,True
IRS-P1,ISRO,"First Launch Pad, Satish Dhawan Space Centre, India",1993-09-20,5:12:00,PSLV-G,15490000,False
STS-51,NASA,"LC-39B, Kennedy Space Center, Florida, USA",1993-09-12,11:45:00,Space Shuttle Discovery,12970000,True
UHF F2,General Dynamics,"SLC-36B, Cape Canaveral AFS, Florida, USA",1993-09-03,11:17:00,Atlas I,23800000,True
NOAA-I,General Dynamics,"SLC-3W, Vandenberg AFB, California, USA",1993-08-09,10:02:00,Atlas-E/F Star-37S-ISS,10830000,True
SLDCOM & 3x NOSS,Martin Marietta,"SLC-4E, Vandenberg AFB, California, USA",1993-08-02,19:59:00,Titan IV(403)A,6990000,False
"Hispasat 1B, Insat-2B",Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",1993-07-22,22:58:00,Ariane 44L,24810000,True
USA-93 (DSCS IIIB-9),General Dynamics,"SLC-36A, Cape Canaveral AFS, Florida, USA",1993-07-19,22:04:00,Atlas II,20530000,True
Galaxy-4,Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",1993-06-25,0:18:00,Ariane 44P,24480000,True
STS-57,NASA,"LC-39B, Kennedy Space Center, Florida, USA",1993-06-21,13:07:00,Space Shuttle Endeavour,9740000,True
"Astra 1C, Arsene",Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",1993-05-12,0:56:00,Ariane 42L,19450000,True
STS-55,NASA,"LC-39A, Kennedy Space Center, Florida, USA",1993-04-26,14:50:00,Space Shuttle Columbia,19710000,True
ALEXIS,Northrop,"NB-52B Carrier, Edwards AFB, California, USA",1993-04-25,13:56:00,Pegasus,18870000,True
STS-56,NASA,"LC-39B, Kennedy Space Center, Florida, USA",1993-04-08,5:29:00,Space Shuttle Discovery,21130000,True
UHF F1,General Dynamics,"SLC-36B, Cape Canaveral AFS, Florida, USA",1993-03-25,21:38:00,Atlas I,12080000,False
SCD-1,Northrop,"NB-52B Carrier, Cape Canaveral AFS, Florida, USA",1993-02-09,14:30:00,Pegasus,24090000,True
STS-54,NASA,"LC-39B, Kennedy Space Center, Florida, USA",1993-01-13,13:59:00,Space Shuttle Endeavour,18030000,True
STS-53,NASA,"LC-39A, Kennedy Space Center, Florida, USA",1992-12-02,13:24:00,Space Shuttle Discovery,15150000,True
Superbird A1,Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",1992-12-01,22:48:00,Ariane 42P,14980000,True
KH-11 Kennen,Martin Marietta,"SLC-4E, Vandenberg AFB, California, USA",1992-11-28,21:34:00,Titan IV(404)A,10320000,True
Galaxy-7,Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",1992-10-28,0:15:00,Ariane 42P,10370000,True
STS-52,NASA,"LC-39B, Kennedy Space Center, Florida, USA",1992-10-22,17:09:00,Space Shuttle Columbia,6740000,True
Mars Observer,Martin Marietta,"SLC-40, Cape Canaveral AFS, Florida, USA",1992-09-25,17:05:00,Commercial Titan III,16290000,True
STS-47,NASA,"LC-39B, Kennedy Space Center, Florida, USA",1992-09-12,14:23:00,Space Shuttle Endeavour,2720000,True
"Hispasat 1A, Satcom C3",Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",1992-09-10,23:04:00,Ariane 44LP,11510000,True
Galaxy 1R,General Dynamics,"SLC-36B, Cape Canaveral AFS, Florida, USA",1992-08-22,22:40:00,Atlas I,8770000,False
"TOPEX/Poseidon, Oscar 23, S80/T",Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",1992-08-10,23:04:00,Ariane 42P,20700000,True
STS-46,NASA,"LC-39B, Kennedy Space Center, Florida, USA",1992-07-31,13:56:00,Space Shuttle Atlantis,18420000,True
"Insat-2A, Eutelsat 2F4",Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",1992-07-09,22:42:00,Ariane 44L,13050000,True
USA-82 (DSCS IIIB-12),General Dynamics,"SLC-36A, Cape Canaveral AFS, Florida, USA",1992-07-02,21:54:00,Atlas II,2220000,True
STS-50,NASA,"LC-39A, Kennedy Space Center, Florida, USA",1992-06-25,16:12:00,Space Shuttle Columbia,11420000,True
Intelsat K,General Dynamics,"SLC-36B, Cape Canaveral AFS, Florida, USA",1992-06-10,0:00:00,Atlas IIA,4330000,True
STS-49,NASA,"LC-39B, Kennedy Space Center, Florida, USA",1992-05-07,23:40:00,Space Shuttle Endeavour,23030000,True
USA-81,Martin Marietta,"SLC-4W, Vandenberg AFB, California, USA",1992-04-25,8:53:00,Titan II(23)G,21390000,True
"Telecom 2B, Inmarsat-2F4",Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",1992-04-15,23:25:00,Ariane 44L,5060000,True
STS-45,NASA,"LC-39A, Kennedy Space Center, Florida, USA",1992-03-24,13:13:00,Space Shuttle Atlantis,9210000,True
Galaxy 5,General Dynamics,"SLC-36B, Cape Canaveral AFS, Florida, USA",1992-03-14,0:00:00,Atlas I,4990000,True
"Superbird-B1, Arabsat-1C",Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",1992-02-26,23:58:00,Ariane 44L,3780000,True
USA-78 (DSCS IIIB-14),General Dynamics,"SLC-36A, Cape Canaveral AFS, Florida, USA",1992-02-11,0:41:00,Atlas II,19990000,True
STS-42,NASA,"LC-39A, Kennedy Space Center, Florida, USA",1992-01-22,14:52:00,Space Shuttle Discovery,2260000,True
"Telecom 2A, Inmarsat 2F3",Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",1991-12-16,22:19:00,Ariane 44L,23950000,True
Eutelsat 2F3,General Dynamics,"SLC-36B, Cape Canaveral AFS, Florida, USA",1991-12-07,22:47:00,Atlas II,4320000,True
DMSP F-11,General Dynamics,"SLC-3W, Vandenberg AFB, California, USA",1991-11-28,13:23:00,Atlas-E/F Star-37S-ISS,7780000,True
STS-44,NASA,"LC-39A, Kennedy Space Center, Florida, USA",1991-11-24,23:44:00,Space Shuttle Atlantis,20630000,True
SLDCOM & NOSS 3x,Martin Marietta,"SLC-4E, Vandenberg AFB, California, USA",1991-11-08,7:07:00,Titan IV(403)A,17340000,True
Intelsat 6AF1,Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",1991-10-29,23:08:00,Ariane 44L,3760000,True
Anik E1,Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",1991-09-26,23:43:00,Ariane 44P,8880000,True
STS-48,NASA,"LC-39A, Kennedy Space Center, Florida, USA",1991-09-12,23:11:00,Space Shuttle Discovery,16910000,True
Intelsat 605,Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",1991-08-14,23:15:00,Ariane 44L,3610000,True
STS-43,NASA,"LC-39A, Kennedy Space Center, Florida, USA",1991-08-02,15:02:00,Space Shuttle Atlantis,10120000,True
7 Microsats,Northrop,"NB-52B Carrier, Edwards AFB, California, USA",1991-07-21,17:33:00,Pegasus/HAPS,23810000,False
"ERS-1, Oscar 22, Orbcomm-X, Tubsat-A, SARA",Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",1991-07-17,1:46:00,Ariane 40,4410000,True
STS-40,NASA,"LC-39B, Kennedy Space Center, Florida, USA",1991-06-05,13:24:00,Space Shuttle Columbia,3540000,True
NOAA-D,General Dynamics,"SLC-3W, Vandenberg AFB, California, USA",1991-05-14,15:52:00,Atlas-E/F Star-37S-ISS,16670000,True
STS-39,NASA,"LC-39A, Kennedy Space Center, Florida, USA",1991-04-28,11:33:00,Space Shuttle Discovery,16580000,True
Yuri 3H,General Dynamics,"SLC-36B, Cape Canaveral AFS, Florida, USA",1991-04-18,23:30:00,Atlas I,7190000,False
STS-37,NASA,"LC-39B, Kennedy Space Center, Florida, USA",1991-04-05,14:22:00,Space Shuttle Atlantis,10780000,True
Anik E2,Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",1991-04-04,23:33:00,Ariane 44P,11840000,True
Lacrosse,Martin Marietta,"SLC-4E, Vandenberg AFB, California, USA",1991-03-08,12:03:00,Titan IV(403)A,18340000,True
"Astra 1B, Meteosat 5",Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",1991-03-02,23:36:00,Ariane 44LP,11160000,True
"Italsat-1, Eutelsat 2F2",Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",1991-01-15,23:10:00,Ariane 44L,9460000,True
STS-35,NASA,"LC-39B, Kennedy Space Center, Florida, USA",1990-12-02,6:49:00,Space Shuttle Columbia,22040000,True
DMSP F-10,General Dynamics,"SLC-3W, Vandenberg AFB, California, USA",1990-12-01,15:57:00,Atlas-E/F Star-37S-ISS,10600000,True
"Satcom C1, GStar-4",Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",1990-11-20,23:11:00,Ariane 42P,15120000,True
STS-38,NASA,"LC-39A, Kennedy Space Center, Florida, USA",1990-11-15,23:48:00,Space Shuttle Atlantis,22680000,True
DSP,Martin Marietta,"SLC-41, Cape Canaveral AFS, Florida, USA",1990-11-13,0:37:00,Titan IV(402)A,16700000,True
"SBS-6, Galaxy-6",Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",1990-10-12,22:58:00,Ariane 44L,21100000,True
STS-41,NASA,"LC-39B, Kennedy Space Center, Florida, USA",1990-10-06,11:47:00,Space Shuttle Discovery,21420000,True
"Skynet 4C, Eutelsat 2F1",Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",1990-08-30,22:46:00,Ariane 44L,3650000,True
CRRES,General Dynamics,"SLC-36B, Cape Canaveral AFS, Florida, USA",1990-07-25,19:21:00,Atlas I,4670000,True
"TDF-2, DFS-2",Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",1990-07-24,22:25:00,Ariane 44L,7660000,True
Intelsat 604,Martin Marietta,"SLC-40, Cape Canaveral AFS, Florida, USA",1990-06-23,11:19:00,Commercial Titan III,13640000,True
SLDCOM & NOSS 3x,Martin Marietta,"SLC-41, Cape Canaveral AFS, Florida, USA",1990-06-08,5:22:00,Titan IV(405)A,5470000,True
STS-31,NASA,"LC-39B, Kennedy Space Center, Florida, USA",1990-04-24,12:33:00,Space Shuttle Discovery,2330000,True
Pegsat & NavySat,Northrop,"NB-52B Carrier, Edwards AFB, California, USA",1990-04-05,19:10:00,Pegasus,15870000,True
Intelsat 603,Martin Marietta,"SLC-40, Cape Canaveral AFS, Florida, USA",1990-03-14,11:52:00,Commercial Titan III,8420000,False
STS-36,NASA,"LC-39A, Kennedy Space Center, Florida, USA",1990-02-28,7:50:00,Space Shuttle Atlantis,10460000,True
"Superbird-B, BS-2X",Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",1990-02-22,23:17:00,Ariane 44L,7050000,False
"SPOT-2, Oscar 14-19",Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",1990-01-22,1:35:00,Ariane 40,21160000,True
STS-32,NASA,"LC-39A, Kennedy Space Center, Florida, USA",1990-01-09,12:35:00,Space Shuttle Columbia,19220000,True
Skynet 4A & JCSAT-2,Martin Marietta,"SLC-40, Cape Canaveral AFS, Florida, USA",1990-01-01,0:07:00,Commercial Titan III,8070000,True
STS-33R,NASA,"LC-39B, Kennedy Space Center, Florida, USA",1989-11-23,0:23:00,Space Shuttle Discovery,7540000,True
Intelsat 6AF2,Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",1989-10-27,23:05:00,Ariane 44L,5150000,True
STS-34R,NASA,"LC-39B, Kennedy Space Center, Florida, USA",1989-10-18,16:53:00,Space Shuttle Atlantis,17100000,True
FLTSATCOM-8,General Dynamics,"SLC-36B, Cape Canaveral AFS, Florida, USA",1989-09-25,8:56:00,Atlas-G Centaur-D1AR,8170000,True
USA-45,Martin Marietta,"SLC-4W, Vandenberg AFB, California, USA",1989-09-06,1:48:00,Titan II(23)G,9560000,True
DSCS-II-16 & DSCS-III-A2,Martin Marietta,"SLC-40, Cape Canaveral AFS, Florida, USA",1989-09-04,5:54:00,Titan 34D,19020000,True
"TVSAT-2, Hipparcos",Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",1989-08-08,23:25:00,Ariane 44LP,24230000,True
STS-28R,NASA,"LC-39B, Kennedy Space Center, Florida, USA",1989-08-08,12:37:00,Space Shuttle Columbia,10410000,True
Olympus-1,Arianespace,"ELA-1, Guiana Space Centre, French Guiana, France",1989-07-12,0:14:00,Ariane 3,18950000,True
DSP,Martin Marietta,"SLC-41, Cape Canaveral AFS, Florida, USA",1989-06-14,13:18:00,Titan IV(402)A,17000000,True
"Superbird-A, DFS-1",Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",1989-06-05,22:37:00,Ariane 44L,5920000,True
SROSS C,ISRO,"SLV LP, Satish Dhawan Space Centre, India",1989-05-22,1:40:00,ASLV,18450000,False
USA-37 (Vortex),Martin Marietta,"SLC-40, Cape Canaveral AFS, Florida, USA",1989-05-10,19:47:00,Titan 34D,22300000,True
STS-30R,NASA,"LC-39B, Kennedy Space Center, Florida, USA",1989-05-04,18:46:00,Space Shuttle Atlantis,20520000,True
TELE-X,Arianespace,"ELA-1, Guiana Space Centre, French Guiana, France",1989-04-02,2:28:00,Ariane 2,23880000,True
STS-29R,NASA,"LC-39B, Kennedy Space Center, Florida, USA",1989-03-13,14:57:00,Space Shuttle Discovery,17860000,True
JCSAT-1 & Meteosat 4,Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",1989-03-06,23:29:00,Ariane 44LP,20110000,True
Intelsat-5A 15,Arianespace,"ELA-1, Guiana Space Centre, French Guiana, France",1989-01-27,1:21:00,Ariane 2,20130000,True
"Skynet 4B, Astra 1A",Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",1988-12-11,0:33:00,Ariane 44LP,21850000,True
STS-27R,NASA,"LC-39B, Kennedy Space Center, Florida, USA",1988-12-02,14:30:00,Space Shuttle Atlantis,15860000,True
USA-33 (KH-11),Martin Marietta,"SLC-4E, Vandenberg AFB, California, USA",1988-11-06,18:03:00,Titan 34D,14770000,True
TDF-1,Arianespace,"ELA-1, Guiana Space Centre, French Guiana, France",1988-10-28,2:17:00,Ariane 2,13380000,True
STS-26R,NASA,"LC-39A, Kennedy Space Center, Florida, USA",1988-09-29,15:37:00,Space Shuttle Discovery,20320000,True
NOAA-H,General Dynamics,"SLC-3W, Vandenberg AFB, California, USA",1988-09-24,10:02:00,Atlas-E/F Star-37S-ISS,2140000,True
"GStar 5, SBS 5",Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",1988-09-08,23:00:00,Ariane 3,14850000,True
USA-32,Martin Marietta,"SLC-4W, Vandenberg AFB, California, USA",1988-09-05,9:25:00,Titan II(23)G,15720000,True
USA-31 (Vortex),Martin Marietta,"SLC-40, Cape Canaveral AFS, Florida, USA",1988-09-02,12:05:00,Titan 34D,9060000,False
SROSS-B,ISRO,"SLV LP, Satish Dhawan Space Centre, India",1988-07-31,9:18:00,ASLV,20930000,False
"Insat 1C, Eutelsat-1 F5",Arianespace,"ELA-1, Guiana Space Centre, French Guiana, France",1988-07-21,23:12:00,Ariane 3,10100000,True
"Meteosat 3, Panamsat-1, Oscar 13",ESA,"ELA-2, Guiana Space Centre, French Guiana, France",1988-06-15,11:19:00,Ariane 44LP,15240000,True
Intelsat 3AF13,Arianespace,"ELA-1, Guiana Space Centre, French Guiana, France",1988-05-17,23:58:00,Ariane 2,7190000,True
"Spacenet 3R, Telecom 1C",Arianespace,"ELA-1, Guiana Space Centre, French Guiana, France",1988-03-11,23:28:00,Ariane 3,19000000,True
DMSP 5D-2/F9,General Dynamics,"SLC-3W, Vandenberg AFB, California, USA",1988-02-03,5:53:00,Atlas-E/F Star-37S-ISS,14090000,True
DSP-13,Martin Marietta,"SLC-40, Cape Canaveral AFS, Florida, USA",1987-11-29,3:27:00,Titan 34D,13080000,True
TVSAT-1,Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",1987-11-21,2:19:00,Ariane 2,16910000,True
USA-27 (KH-11),Martin Marietta,"SLC-4E, Vandenberg AFB, California, USA",1987-10-26,21:32:00,Titan 34D,16030000,True
"Aussat-A3, Eutelsat 1-F4",Arianespace,"ELA-1, Guiana Space Centre, French Guiana, France",1987-09-16,0:45:00,Ariane 3,6680000,True
DMSP 5D-2/F8,General Dynamics,"SLC-3W, Vandenberg AFB, California, USA",1987-06-20,2:34:00,Atlas-E/F Star-37S-ISS,13390000,True
NOSS-9,General Dynamics,"SLC-3E, Vandenberg AFB, California, USA",1987-05-15,15:45:00,Atlas-H MSD,24320000,True
FLTSATCOM-6,General Dynamics,"SLC-36B, Cape Canaveral AFS, Florida, USA",1987-03-26,21:22:00,Atlas-G Centaur-D1AR,3160000,False
SROSS-A,ISRO,"SLV LP, Satish Dhawan Space Centre, India",1987-03-24,6:39:00,ASLV,7480000,False
Quasar 7,Martin Marietta,"SLC-4W, Vandenberg AFB, California, USA",1987-02-12,0:00:00,Titan III(34)B Agena-D,20470000,True
FLTSATCOM-7,General Dynamics,"SLC-36B, Cape Canaveral AFS, Florida, USA",1986-12-05,2:30:00,Atlas-G Centaur-D1AR,15120000,True
NOAA-G,General Dynamics,"SLC-3W, Vandenberg AFB, California, USA",1986-09-17,15:52:00,Atlas-E/F Star-37S-ISS,9880000,True
Intelsat-5A 14,Arianespace,"ELA-1, Guiana Space Centre, French Guiana, France",1986-05-31,0:53:00,Ariane 2,14200000,False
KH-9,Martin Marietta,"SLC-4E, Vandenberg AFB, California, USA",1986-04-18,18:45:00,Titan 34D,6780000,False
"GStar-2, Brasilsat-A2",Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",1986-03-28,23:30:00,Ariane 3,12980000,True
SPOT-1 & Viking,Arianespace,"ELV-1 (SLV), Guiana Space Centre, French Guiana, France",1986-02-22,1:44:00,Ariane 1,14980000,True
NOSS-8,General Dynamics,"SLC-3E, Vandenberg AFB, California, USA",1986-02-09,10:06:00,Atlas-H MSD,10020000,True
STS-51-L,NASA,"LC-39A, Kennedy Space Center, Florida, USA",1986-01-28,16:38:00,Space Shuttle Challenger,16130000,False
STS-61-C,NASA,"LC-39A, Kennedy Space Center, Florida, USA",1986-01-12,11:55:00,Space Shuttle Columbia,7090000,True
STS-61-B,NASA,"LC-39A, Kennedy Space Center, Florida, USA",1985-11-27,0:29:00,Space Shuttle Atlantis,23140000,True
STS-61-A,NASA,"LC-39A, Kennedy Space Center, Florida, USA",1985-11-06,17:00:00,Space Shuttle Challenger,16950000,True
GPS-11,General Dynamics,"SLC-3W, Vandenberg AFB, California, USA",1985-10-09,2:53:00,Atlas-E/F SGS-2,3210000,True
STS-51-J,NASA,"LC-39A, Kennedy Space Center, Florida, USA",1985-10-03,15:15:00,Space Shuttle Atlantis,2750000,True
Intelsat V -512,General Dynamics,"SLC-36B, Cape Canaveral AFS, Florida, USA",1985-09-28,23:17:00,Atlas-G Centaur-D1AR,11470000,True
"ECS 3, Spacenet 3",Arianespace,"ELA-1, Guiana Space Centre, French Guiana, France",1985-09-12,23:26:00,Ariane 3,6260000,False
KH-11,Martin Marietta,"SLC-4E, Vandenberg AFB, California, USA",1985-08-28,21:20:00,Titan 34D,16280000,False
STS-51-I,NASA,"LC-39A, Kennedy Space Center, Florida, USA",1985-08-27,10:58:00,Space Shuttle Discovery,14500000,True
STS-51-F,NASA,"LC-39A, Kennedy Space Center, Florida, USA",1985-07-25,21:00:00,Space Shuttle Challenger,19430000,True
Giotto,Arianespace,"ELV-1 (SLV), Guiana Space Centre, French Guiana, France",1985-07-02,11:23:00,Ariane 1,13220000,True
Intelsat V -511,General Dynamics,"SLC-36A, Cape Canaveral AFS, Florida, USA",1985-06-30,0:44:00,Atlas-G Centaur-D1AR,7990000,True
STS-51-G,NASA,"LC-39A, Kennedy Space Center, Florida, USA",1985-06-17,11:33:00,Space Shuttle Discovery,14850000,True
"GStar-1, Telecom 1B",Arianespace,"ELA-1, Guiana Space Centre, French Guiana, France",1985-05-08,1:15:00,Ariane 3,1730000,True
STS-51-B,NASA,"LC-39A, Kennedy Space Center, Florida, USA",1985-05-06,16:02:00,Space Shuttle Challenger,6070000,True
STS-51-D,NASA,"LC-39A, Kennedy Space Center, Florida, USA",1985-04-12,13:59:00,Space Shuttle Discovery,3300000,True
Intelsat V -510,General Dynamics,"SLC-36B, Cape Canaveral AFS, Florida, USA",1985-03-22,23:55:00,Atlas-G Centaur-D1AR,3450000,True
Geosat,General Dynamics,"SLC-3W, Vandenberg AFB, California, USA",1985-03-13,2:00:00,Atlas-E/F OIS,23990000,True
Quasar 6,Martin Marietta,"SLC-4W, Vandenberg AFB, California, USA",1985-02-08,6:00:00,Titan III(34)B Agena-D,9310000,True
"Arabsat-1A, Brasilsat-A1",Arianespace,"ELA-1, Guiana Space Centre, French Guiana, France",1985-02-08,23:22:00,Ariane 3,3910000,True
STS-51-C,NASA,"LC-39A, Kennedy Space Center, Florida, USA",1985-01-24,19:50:00,Space Shuttle Discovery,7560000,True
DSP-12,Martin Marietta,"SLC-40, Cape Canaveral AFS, Florida, USA",1984-12-22,0:02:00,Titan 34D,10740000,True
NOAA-F,General Dynamics,"SLC-3W, Vandenberg AFB, California, USA",1984-12-12,10:42:00,Atlas-E/F Star-37S-ISS,19730000,True
USA-6 (KH-11),Martin Marietta,"SLC-4E, Vandenberg AFB, California, USA",1984-12-04,18:03:00,Titan 34D,7540000,True
"Spacenet 2, MARECS-2",Arianespace,"ELA-1, Guiana Space Centre, French Guiana, France",1984-11-10,1:14:00,Ariane 3,8640000,True
STS-51-A,NASA,"LC-39A, Kennedy Space Center, Florida, USA",1984-11-08,12:15:00,Space Shuttle Discovery,1540000,True
